K,q,log_count,count,avg_ratio,time,n_samples_used,n_steps_used,n_samples_theoretical,n_steps_theoretical,epsilon
10,6,147.0931899104982,7.61659220041338e+63,0.8368444444444445,48.36464214324951,1000,1000,447897599999,14759,0.1
10,7,167.27184652991818,4.418144600630052e+72,0.8592611111111111,50.052855014801025,1000,1000,447897599999,17424,0.1
10,8,183.819560051004,6.789231163647954e+79,0.8746444444444444,49.42576360702515,1000,1000,447897599999,20087,0.1
10,9,198.48549437078938,1.589113594911944e+86,0.8887555555555555,52.16031455993652,1000,1000,447897599999,22748,0.1
10,10,211.67553739824442,8.501936284972554e+91,0.9019555555555557,51.849289894104004,1000,1000,447897599999,25409,0.1
10,11,222.9577092019191,6.749984944859161e+96,0.9107777777777778,54.63708567619324,1000,1000,447897599999,28070,0.1
11,2,-145675.8796197287,0.0,0.020745454545454546,57.40788722038269,1000,1000,817766399999,5034,0.1
11,3,-64850.34385751358,0.0,0.38433636363636364,60.14373993873596,1000,1000,817766399999,8450,0.1
11,4,108.54589441695153,1.3831936246307156e+47,0.764318181818182,62.43600010871887,1000,1000,817766399999,11820,0.1
11,5,147.26294616993783,9.025783468028251e+63,0.805990909090909,64.21710157394409,1000,1000,817766399999,15175,0.1
11,6,177.44714095089577,1.1596158544945813e+77,0.8362818181818181,66.25797629356384,1000,1000,817766399999,18524,0.1
11,7,201.9859072542067,5.26459470610102e+87,0.8589545454545454,66.8438663482666,1000,1000,817766399999,21869,0.1
11,8,222.49820788157672,4.2632805843985214e+96,0.8761090909090907,64.8341646194458,1000,1000,817766399999,25212,0.1
11,9,240.03052898757622,1.7536149028994907e+104,0.8892681818181819,65.46639680862427,1000,1000,817766399999,28553,0.1
11,10,255.5221655710717,9.372738740286042e+110,0.9004181818181819,67.09022164344788,1000,1000,817766399999,31894,0.1
11,11,269.31161013828813,9.1315856203485e+116,0.9097000000000001,68.50403714179993,1000,1000,817766399999,35234,0.1
12,2,-176744.2966887267,0.0,0.015102272727272726,71.82033467292786,1000,1000,1413100339199,6180,0.1
12,3,-80720.8958548727,0.0,0.37469696969696975,76.29803442955017,1000,1000,1413100339199,10378,0.1
12,4,127.79176974701024,3.156897155334425e+55,0.7620454545454546,80.99715733528137,1000,1000,1413100339199,14519,0.1
12,5,174.87079981943555,8.819082546015336e+75,0.8062651515151515,80.3807020187378,1000,1000,1413100339199,18642,0.1
12,6,211.0911473818766,4.739368596849814e+91,0.8372462121212121,82.13938426971436,1000,1000,1413100339199,22756,0.1
12,7,240.25596670458313,2.1970532554858424e+104,0.8596287878787878,80.63208270072937,1000,1000,1413100339199,26867,0.1
12,8,264.49044300948515,7.357663390099587e+114,0.8760681818181818,83.5221095085144,1000,1000,1413100339199,30975,0.1
12,9,285.2637210266603,7.734993072286715e+123,0.8888030303030303,82.32783317565918,1000,1000,1413100339199,35081,0.1
