K,q,log_count,count,avg_ratio,time,n_samples_used,n_steps_used,n_samples_theoretical,n_steps_theoretical,epsilon
6,4,33.52554733145383,363044790160612.6,0.7612066666666667,284.7201578617096,10000,2681,16588799999,2681,0.1
6,5,44.95352505196074,3.334785251944805e+19,0.8054166666666666,396.0709626674652,10000,3440,16588799999,3440,0.1
6,6,53.75867166200494,2.2237935039669712e+23,0.8360516666666667,457.2328751087189,10000,4196,16588799999,4196,0.1
6,7,60.90968480156435,2.8362205786174153e+26,0.8586649999999999,577.8158988952637,10000,4952,16588799999,4952,0.1
6,8,66.9754482940548,1.2219899020179261e+29,0.8768683333333331,623.7869262695312,10000,5708,16588799999,5708,0.1
6,9,72.0531715376645,1.9601748037435667e+31,0.8891916666666667,708.6364359855652,10000,6463,16588799999,6463,0.1
6,10,76.60572890524257,1.859710511138196e+33,0.9005199999999999,799.009539604187,10000,7218,16588799999,7218,0.1
7,2,-53160.59660639481,0.0,0.04170952380952381,232.29340887069702,10000,1688,45519667199,1688,0.1
7,3,-17928.10880668209,0.0,0.4750392857142857,458.91561579704285,10000,2827,45519667199,2827,0.1
7,4,45.03640800780404,3.622959527708396e+19,0.7615964285714286,611.8768215179443,10000,3951,45519667199,3951,0.1
7,5,60.655342817538,2.1992808041035844e+26,0.8051630952380953,855.4748623371124,10000,5069,45519667199,5069,0.1
7,6,72.75525138183541,3.955525645728285e+31,0.8360714285714286,1002.5783581733704,10000,6185,45519667199,6185,0.1
7,7,82.52150512778928,6.896588527243861e+35,0.8583833333333333,1259.3411014080048,10000,7300,45519667199,7300,0.1
7,8,90.77976337254725,2.661646046230914e+39,0.876086904761905,1389.7642254829407,10000,8415,45519667199,8415,0.1
7,9,97.90674565657514,3.3140524670696205e+42,0.8903404761904761,1561.456039905548,10000,9529,45519667199,9529,0.1
7,10,104.05400368393408,1.5491005918676132e+45,0.9008380952380952,1653.1891059875488,10000,10000,45519667199,10642,0.1
8,2,-72491.93045112054,0.0,0.03120982142857143,505.91679072380066,10000,2344,107898470399,2344,0.1
8,3,-28278.745712014213,0.0,0.43234464285714286,878.5660080909729,10000,3929,107898470399,3929,0.1
8,4,58.35948901740161,2.2141347442966506e+25,0.7626848214285715,1363.7578437328339,10000,5492,107898470399,5492,0.1
8,5,78.82141302110274,1.704922848056985e+34,0.8058375,1664.584935426712,10000,7048,107898470399,7048,0.1
8,6,94.64662982618987,1.2720642993375356e+41,0.8362848214285715,2131.6279146671295,10000,8601,107898470399,8601,0.1
8,7,107.49222798643376,4.822602445021165e+46,0.8588285714285714,2503.0130014419556,10000,10000,107898470399,10152,0.1
8,8,118.23571625250105,2.234185003318204e+51,0.875842857142857,2516.8976480960846,10000,10000,107898470399,11702,0.1
8,9,127.53881077813608,2.451329826097045e+55,0.8897544642857141,2430.9110627174377,10000,10000,107898470399,13252,0.1
8,10,135.69361759541263,8.530791964132498e+58,0.9010383928571428,2475.1158957481384,10000,10000,107898470399,14801,0.1
9,2,-95275.02156375964,0.0,0.020888194444444442,1070.223680973053,10000,3119,229323571199,3119,0.1
9,3,-40009.15523717716,0.0,0.4065472222222222,1925.991679906845,10000,5230,229323571199,5230,0.1
9,4,73.29072570407712,6.757059574648204e+31,0.7628854166666668,2624.7471368312836,10000,7312,229323571199,7312,0.1
9,5,99.19229970134353,1.1985838112874859e+43,0.8053888888888889,3475.2568171024323,10000,9386,229323571199,9386,0.1
9,6,119.36602522219903,6.91840657580396e+51,0.8361763888888889,3696.0355582237244,10000,10000,229323571199,11455,0.1
9,7,135.74346182672713,8.96677816905066e+58,0.8590736111111111,3850.578122854233,10000,10000,229323571199,13522,0.1
9,8,149.4031100801325,7.672665888929867e+64,0.8762048611111111,3975.9913170337677,10000,10000,229323571199,15588,0.1
9,9,161.1197975005794,9.406736523031044e+69,0.8895458333333335,3841.549264907837,10000,10000,229323571199,17653,0.1
9,10,171.36690814161577,2.652788258991956e+74,0.900188888888889,3807.0841686725616,10000,10000,229323571199,19717,0.1
10,2,-120129.7598337627,0.0,0.016740555555555557,2052.4197056293488,10000,4015,447897599999,4015,0.1
10,3,-49667.78312983423,0.0,0.4078305555555556,3291.191978931427,10000,6736,447897599999,6736,0.1
10,4,89.84530836144101,1.0454942443153175e+39,0.7627438888888889,4794.048151731491,10000,9420,447897599999,9420,0.1
10,5,122.00203722062275,9.65631769860659e+52,0.8054905555555558,5290.348451375961,10000,10000,447897599999,12092,0.1
10,6,146.97001320024037,6.733885663553778e+63,0.8361866666666666,5269.668058156967,10000,10000,447897599999,14759,0.1
10,7,167.1036863115881,3.7342971295516884e+72,0.8583894444444445,5218.519149065018,10000,10000,447897599999,17424,0.1
10,8,184.22579974532238,1.0191738068588326e+80,0.8765516666666665,5273.917748451233,10000,10000,447897599999,20087,0.1
10,9,198.6663706693817,1.9041822891644807e+86,0.8896105555555555,5507.894126176834,10000,10000,447897599999,22748,0.1
10,10,211.41502865670944,6.552097282855971e+91,0.9006127777777777,5362.146655082703,10000,10000,447897599999,25409,0.1
11,2,-149816.5129167274,0.0,0.006785,3230.902358531952,10000,5034,817766399999,5034,0.1
11,3,-63468.44616916135,0.0,0.393935,5691.841016292572,10000,8450,817766399999,8450,0.1
11,4,108.19412005046803,9.729920959094303e+46,0.763015,6701.033329963684,10000,10000,817766399999,11820,0.1
11,5,147.36796342371008,1.002520643584845e+64,0.8062995454545455,6940.071930646896,10000,10000,817766399999,15175,0.1
11,6,177.40922969749812,1.1164762686634544e+77,0.8360672727272727,6952.343808174133,10000,10000,817766399999,18524,0.1
11,7,202.01717908091317,5.431829438827306e+87,0.8590031818181817,7067.683732748032,10000,10000,817766399999,21869,0.1
